[Log]
Num=217
1=[2026-01-29 21:30:08.519] ¡Ú¡Ú¡Ú¡Ú¡Ú Perform Code Reverse Engineering ¡Ú¡Ú¡Ú¡Ú¡Ú
2=[2026-01-29 21:30:24.845] 	¢º Reverse engineering source codes...
3=[2026-01-29 21:30:25.791] 	¢º Compile Error/Warning/Note...
4=[2026-01-29 21:30:25.805] 		¡æ [ BmsSoc_Estimator.c : 131 lines ] Warning: result of comparison of constant 200000 with expression of type 'uint16' (aka 'unsigned short') is always false
5=[2026-01-29 21:30:25.822] 		¡æ [ Rte_SWC_BMS_MainCntrl.c : 68 lines ] Warning: implicit declaration of function 'Bms_ClampU32ToU16' is invalid in C99
6=[2026-01-29 21:30:25.841] 		¡æ [ Rte_SWC_BMS_MainCntrl.c : 69 lines ] Warning: implicit declaration of function 'Bms_ClampS32ToS16' is invalid in C99
7=[2026-01-29 21:30:25.866] 	¢º Deleting existing model element...
8=[2026-01-29 21:30:56.198] 	¢º Finding Use Case Realizations...
9=[2026-01-29 21:30:56.224] 		¡æ Use Case Rezliation : REtSWC_BMS_MainCntrl_BattStatusProcess_10ms
10=[2026-01-29 21:30:56.241] 		¡æ Use Case Rezliation : REtSWC_BMS_MainCntrl_SoX_1000ms
11=[2026-01-29 21:30:56.255] 		¡æ Use Case Rezliation : REtSWC_BMS_MainCntrl_PerfomCellBalancing_1000ms
12=[2026-01-29 21:30:56.273] 		¡æ Use Case Rezliation : REtSWC_BMS_MainCntrl_ChargeSequence_100ms
13=[2026-01-29 21:30:56.332] 		¡æ Use Case Rezliation : REtSWC_BMS_MainCntrl_HMI_Output_100ms
14=[2026-01-29 21:30:56.363] 		¡æ Use Case Rezliation : REtSWC_BMS_MainCntrl_ReportBattInfoData_10ms
15=[2026-01-29 21:30:56.381] 		¡æ Use Case Rezliation : REtSWC_BMS_MainCntrl_InputDataRead_10ms
16=[2026-01-29 21:30:56.395] 	¢º Reverse engineering source codes...
17=[2026-01-29 21:31:01.447] 		¡æ Adding : RteFiles::Rte::Rte_IsInfrastructureError
18=[2026-01-29 21:31:01.596] 		¡æ Adding : RteFiles::Rte::Rte_HasOverlayedError
19=[2026-01-29 21:31:01.693] 		¡æ Adding : RteFiles::Rte::Rte_ApplicationError
20=[2026-01-29 21:31:22.274] 		¡æ Adding : StubFiles
21=[2026-01-29 21:31:22.303] 		¡æ Adding : SWC_BMS_MainCntrl_Src
22=[2026-01-29 21:31:22.467] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc
23=[2026-01-29 21:31:22.499] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg
24=[2026-01-29 21:31:22.608] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::Platform_Types
25=[2026-01-29 21:31:22.681] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_SCALE_X10
26=[2026-01-29 21:31:22.779] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_UNIT_VOLTAGE_MV
27=[2026-01-29 21:31:22.920] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_UNIT_CURRENT_MA
28=[2026-01-29 21:31:23.067] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_UNIT_TEMP_DC
29=[2026-01-29 21:31:23.208] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_NOM_CAPACITY_AH_X10
30=[2026-01-29 21:31:23.349] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_NOM_ENERGY_WH_X10
31=[2026-01-29 21:31:23.468] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_EFF_CHG_X1000
32=[2026-01-29 21:31:23.616] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_EFF_DISCHG_X1000
33=[2026-01-29 21:31:23.721] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_CC_DT_MS
34=[2026-01-29 21:31:23.880] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_CC_I_OFFSET_MA
35=[2026-01-29 21:31:23.988] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_CC_I_DEADBAND_MA
36=[2026-01-29 21:31:24.137] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_CC_SLEW_LIMIT_X10_PER_S
37=[2026-01-29 21:31:24.239] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_OCV_POINTS
38=[2026-01-29 21:31:24.355] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_REST_I_THR_MA
39=[2026-01-29 21:31:24.519] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_REST_V_DV_THR_MV
40=[2026-01-29 21:31:24.628] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_REST_TIME_MS
41=[2026-01-29 21:31:24.735] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_OCV_CORR_GAIN_X1000
42=[2026-01-29 21:31:24.876] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_OCV_CORR_MAX_STEP_X10
43=[2026-01-29 21:31:25.023] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_MIN_X10
44=[2026-01-29 21:31:25.160] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_MAX_X10
45=[2026-01-29 21:31:25.307] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_INVALID_HOLD_MS
46=[2026-01-29 21:31:25.414] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_INVALID_DEFAULT_X10
47=[2026-01-29 21:31:25.531] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_FLAG_VALID
48=[2026-01-29 21:31:25.556] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_FLAG_OCV_USED
49=[2026-01-29 21:31:25.581] 		¡æ Adding : SWC_BMS_MainCntrl_Src::Soc::Cfg::Soc_Cfg::BMS_SOC_FLAG_CC_USED
